,Title,Year,Genre,Director,Cast,Movie_id
0,Aama,(1964),"Action, Drama","Hira Singh Khatri
                 |","['Shiva Shankar', 'Bhubhan Chand', 'Bhim Bahadur', 'Basundhara Bhusal']",/title/tt1999819/
1,Maitighar,(1966),"Drama, Musical","B.S. Thapa
                 |","['Mala Sinha', 'Chidambar Prasad Lohani', 'Tika Bhushan Dahal', 'Sunil Dutt']",/title/tt7051562/
2,Hijo Aaja Bholi,(1968),Drama,"Hira Singh Khatri
                 |","['Basundhara Bhusal', 'Bhubhan Chand', 'Shreedhar Khanal', 'Shanti Maskey']",/title/tt8378014/
3,Parivartan,(1971),Drama,"Hira Singh Khatri
                 |","['Yagya Nath Ghimire', 'Rita Thapa', 'Neer Bikram Shah', 'Yadav Kharel']",/title/tt8379858/
4,Man ko bandh,(1973),Drama,"Prakash Thapa
                 |","['Salyan K.C.', 'Sushma Shahi', 'Neer Bikram Shah', 'Basundhara Bhusal']",/title/tt1999922/
5,Kumari,(1977),Drama,"Prem Bahadur Basnet
                 |","['Salyan K.C.', 'Chaitya Devi', 'Gautam Ratna Tuladhar', 'Keshav Manandhar']",/title/tt1999911/
6,Paral Ko Aago,(1978),"Comedy, Drama, Mystery","Pratap Subha
                 |","['Basundhara Bhusal', 'Susmita Dhakal', 'Tanka Sharma']",/title/tt0888045/
7,Sindoor,(1980),Drama,"Prakash Thapa
                 |","['Menakshi Anand', 'Biswa Basnet', 'Basundhara Bhusal', 'Gopal Raj Mainali']",/title/tt8212526/
8,Raiders of the Lost Ark,(1981),"Action, Adventure","Steven Spielberg
                 |","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']",/title/tt0082971/
9,Bansuri,(1981),"Drama, Romance","Tulsi Ghimire
                 |","['Rakesh Pandey', 'Banni Pradhan', 'Rajani Sharma', 'Rajni Sharma']",/title/tt8524684/
10,Jeevan Rekha,(1982),Drama,"Prakash Thapa
                 |","['Shiv Shrestha', 'Menakshi Anand', 'Arjun Jung Shahi', 'Shanti Maskey']",/title/tt8500232/
11,Samjhana,(1983),Drama,"Shambhu Pradhan
                 |","['Bhuwan K.C.', 'Tripti Nadakar', 'Muralidhar']",/title/tt7025304/
12,Kanchi,(1984),,"B.S. Thapa
                 |","['Shiv Shrestha', 'Sharmila Malla', 'Jayanendra Chand']",/title/tt0316088/
13,Basudev,(1984),Drama,"Neer Bikram Shah
                 |","['Harihar Sharma', 'Neer Bikram Shah', 'Sakuntala Sharma', 'Sharmila Malla']",/title/tt6565710/
14,Kusume Rumal,(1985),"Drama, Musical, Romance","Tulsi Ghimire
                 |","['Bhuwan K.C.', 'Tripti Nadakar', 'Udit Narayan', 'Neer Bikram Shah']",/title/tt2007972/
15,Saino,(1987),Drama,"Ugyen Chhopel
                 |","['Bhuwan K.C.', 'Tripti Nadakar', 'Danny Denzongpa', 'Muralidhar']",/title/tt7054392/
16,Anyay,(1989),Drama,"Tulsi Ghimire
                 |","['Prakash Adhikari', 'Biswa Basnet', 'Mira Madhuri', 'Majnalkar']",/title/tt8227934/
17,Santan,(1989),Drama,"Prakash Thapa
                 |","['Arjun Jung Shahi', 'Bhuwan K.C.', 'Gauri Malla', 'Karishma Manandhar']",/title/tt8349140/
18,Cheli Beti,(1989),Drama,"Yadav Kharel
                 |","['Ramchandra Adhikari', 'Basundhara Bhusal', 'Gauri Malla', 'Sharmila Malla']",/title/tt0888008/
19,Lahure,(1989),"Action, Drama, War","Tulsi Ghimire
                 |","['Shrawan Ghimire', 'Tulsi Ghimire', 'Tripti Nadakar']",/title/tt6577862/
20,Behuli,(1989),"Drama, Romance","Shambhu Pradhan
                 |","['Prakash Adhikari', 'Sunita Khadka', 'Subhadra Adhikari', 'Jitendra Mahat']",/title/tt8505114/
21,Maya Preeti,(1989),Drama,"B.S. Thapa
                 |","['Subhadra Adhikari', 'Gopal Bhutani', 'Rabindra Khadka', 'Krishna Malla']",/title/tt8934078/
